C:\Users\admin\anaconda3\envs\folktales\Lib\site-packages\torch\_refs\__init__.py:4919: UserWarning: expandable_segments not supported on this platform (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\c10/cuda/CUDAAllocatorConfig.h:28.)
  return torch.empty_permuted(
CUDA device: NVIDIA GeForce GTX 1650
CUDA compute capability: (7, 5)
AMP dtype: torch.float16
Vocab size: 8,192
Model config: {'sequence_len': 256, 'vocab_size': 8192, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 128, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 1,048,576
  lm_head                 : 1,048,576
  transformer_matrices    : 393,280
  scalars                 : 4
  total                   : 3,539,012
Estimated FLOPs per token: 9.437568e+06
Scaling AdamW LRs by 1/sqrt(128/768) = 2.449490
Data: train/val split already exists
Time budget: 300s
Gradient accumulation steps: 1
Device: cuda

step 00000 (0.0%) | loss: 9.011062 | lrm: 0.00 | dt: 290ms | tok/sec: 3,527 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00044 (0.7%) | loss: 8.454142 | lrm: 0.07 | dt: 63ms | tok/sec: 16,239 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00045 (0.8%) | loss: 8.396114 | lrm: 0.08 | dt: 73ms | tok/sec: 13,943 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00046 (0.8%) | loss: 8.335724 | lrm: 0.08 | dt: 62ms | tok/sec: 16,575 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00047 (0.8%) | loss: 8.275019 | lrm: 0.08 | dt: 73ms | tok/sec: 13,963 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00048 (0.8%) | loss: 8.200470 | lrm: 0.08 | dt: 63ms | tok/sec: 16,174 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00049 (0.9%) | loss: 8.131630 | lrm: 0.09 | dt: 64ms | tok/sec: 16,109 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00050 (0.9%) | loss: 8.064658 | lrm: 0.09 | dt: 73ms | tok/sec: 14,062 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00051 (0.9%) | loss: 7.997692 | lrm: 0.09 | dt: 63ms | tok/sec: 16,221 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00052 (0.9%) | loss: 7.907834 | lrm: 0.09 | dt: 64ms | tok/sec: 15,947 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00053 (0.9%) | loss: 7.819661 | lrm: 0.09 | dt: 63ms | tok/sec: 16,256 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00054 (1.0%) | loss: 7.731242 | lrm: 0.10 | dt: 70ms | tok/sec: 14,651 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00055 (1.0%) | loss: 7.649158 | lrm: 0.10 | dt: 79ms | tok/sec: 12,997 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00056 (1.0%) | loss: 7.580182 | lrm: 0.10 | dt: 71ms | tok/sec: 14,365 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00057 (1.0%) | loss: 7.505913 | lrm: 0.10 | dt: 67ms | tok/sec: 15,376 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00058 (1.1%) | loss: 7.422957 | lrm: 0.11 | dt: 62ms | tok/sec: 16,386 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00059 (1.1%) | loss: 7.350316 | lrm: 0.11 | dt: 79ms | tok/sec: 12,960 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00060 (1.1%) | loss: 7.285544 | lrm: 0.11 | dt: 63ms | tok/sec: 16,242 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00061 (1.1%) | loss: 7.223311 | lrm: 0.11 | dt: 70ms | tok/sec: 14,573 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00062 (1.1%) | loss: 7.174017 | lrm: 0.11 | dt: 64ms | tok/sec: 16,095 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00063 (1.2%) | loss: 7.115235 | lrm: 0.12 | dt: 64ms | tok/sec: 16,108 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00064 (1.2%) | loss: 7.063233 | lrm: 0.12 | dt: 63ms | tok/sec: 16,241 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00065 (1.2%) | loss: 7.050515 | lrm: 0.12 | dt: 75ms | tok/sec: 13,606 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00066 (1.2%) | loss: 7.021210 | lrm: 0.12 | dt: 66ms | tok/sec: 15,579 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00067 (1.3%) | loss: 7.000126 | lrm: 0.13 | dt: 77ms | tok/sec: 13,364 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00068 (1.3%) | loss: 6.976736 | lrm: 0.13 | dt: 69ms | tok/sec: 14,833 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00069 (1.3%) | loss: 6.946442 | lrm: 0.13 | dt: 63ms | tok/sec: 16,289 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00070 (1.3%) | loss: 6.911093 | lrm: 0.13 | dt: 63ms | tok/sec: 16,159 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00071 (1.4%) | loss: 6.882985 | lrm: 0.14 | dt: 79ms | tok/sec: 12,961 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00072 (1.4%) | loss: 6.864870 | lrm: 0.14 | dt: 63ms | tok/sec: 16,325 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00073 (1.4%) | loss: 6.842763 | lrm: 0.14 | dt: 64ms | tok/sec: 15,885 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00074 (1.4%) | loss: 6.817065 | lrm: 0.14 | dt: 76ms | tok/sec: 13,457 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00075 (1.4%) | loss: 6.793355 | lrm: 0.14 | dt: 80ms | tok/sec: 12,807 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00076 (1.5%) | loss: 6.764300 | lrm: 0.15 | dt: 66ms | tok/sec: 15,400 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00077 (1.5%) | loss: 6.736374 | lrm: 0.15 | dt: 56ms | tok/sec: 18,320 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00078 (1.5%) | loss: 6.720346 | lrm: 0.15 | dt: 79ms | tok/sec: 12,992 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00079 (1.5%) | loss: 6.698000 | lrm: 0.15 | dt: 63ms | tok/sec: 16,149 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00080 (1.6%) | loss: 6.669446 | lrm: 0.16 | dt: 64ms | tok/sec: 16,030 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00081 (1.6%) | loss: 6.664236 | lrm: 0.16 | dt: 78ms | tok/sec: 13,128 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00082 (1.6%) | loss: 6.650150 | lrm: 0.16 | dt: 63ms | tok/sec: 16,142 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00083 (1.6%) | loss: 6.643997 | lrm: 0.16 | dt: 109ms | tok/sec: 9,432 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00084 (1.7%) | loss: 6.611246 | lrm: 0.17 | dt: 91ms | tok/sec: 11,240 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00085 (1.7%) | loss: 6.579595 | lrm: 0.17 | dt: 95ms | tok/sec: 10,770 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00086 (1.7%) | loss: 6.525534 | lrm: 0.17 | dt: 86ms | tok/sec: 11,974 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00087 (1.8%) | loss: 6.481567 | lrm: 0.18 | dt: 104ms | tok/sec: 9,872 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00088 (1.8%) | loss: 6.448233 | lrm: 0.18 | dt: 80ms | tok/sec: 12,776 | mfu: 0.0% | epoch: 1 | remaining: 295s    
step 00089 (1.8%) | loss: 6.404731 | lrm: 0.18 | dt: 110ms | tok/sec: 9,287 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00090 (1.9%) | loss: 6.370889 | lrm: 0.19 | dt: 95ms | tok/sec: 10,731 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00091 (1.9%) | loss: 6.340882 | lrm: 0.19 | dt: 79ms | tok/sec: 12,901 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00092 (1.9%) | loss: 6.290338 | lrm: 0.19 | dt: 107ms | tok/sec: 9,536 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00093 (1.9%) | loss: 6.256142 | lrm: 0.19 | dt: 93ms | tok/sec: 10,965 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00094 (2.0%) | loss: 6.213166 | lrm: 0.20 | dt: 93ms | tok/sec: 10,988 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00095 (2.0%) | loss: 6.173671 | lrm: 0.20 | dt: 87ms | tok/sec: 11,760 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00096 (2.0%) | loss: 6.138809 | lrm: 0.20 | dt: 97ms | tok/sec: 10,573 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00097 (2.1%) | loss: 6.086043 | lrm: 0.21 | dt: 93ms | tok/sec: 11,023 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00098 (2.1%) | loss: 6.056111 | lrm: 0.21 | dt: 91ms | tok/sec: 11,296 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00099 (2.1%) | loss: 6.021356 | lrm: 0.21 | dt: 100ms | tok/sec: 10,254 | mfu: 0.0% | epoch: 1 | remaining: 294s    
step 00100 (2.2%) | loss: 5.988790 | lrm: 0.22 | dt: 98ms | tok/sec: 10,470 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00101 (2.2%) | loss: 5.942890 | lrm: 0.22 | dt: 92ms | tok/sec: 11,083 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00102 (2.2%) | loss: 5.906371 | lrm: 0.22 | dt: 95ms | tok/sec: 10,794 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00103 (2.3%) | loss: 5.871438 | lrm: 0.23 | dt: 80ms | tok/sec: 12,867 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00104 (2.3%) | loss: 5.829434 | lrm: 0.23 | dt: 105ms | tok/sec: 9,769 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00105 (2.3%) | loss: 5.814362 | lrm: 0.23 | dt: 95ms | tok/sec: 10,728 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00106 (2.4%) | loss: 5.781991 | lrm: 0.24 | dt: 94ms | tok/sec: 10,853 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00107 (2.4%) | loss: 5.778445 | lrm: 0.24 | dt: 100ms | tok/sec: 10,279 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00108 (2.4%) | loss: 5.770775 | lrm: 0.24 | dt: 91ms | tok/sec: 11,243 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00109 (2.4%) | loss: 5.776932 | lrm: 0.24 | dt: 102ms | tok/sec: 10,069 | mfu: 0.0% | epoch: 1 | remaining: 293s    
step 00110 (2.5%) | loss: 5.735352 | lrm: 0.25 | dt: 82ms | tok/sec: 12,534 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00111 (2.5%) | loss: 5.743417 | lrm: 0.25 | dt: 100ms | tok/sec: 10,253 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00112 (2.5%) | loss: 5.716021 | lrm: 0.25 | dt: 96ms | tok/sec: 10,612 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00113 (2.6%) | loss: 5.728673 | lrm: 0.26 | dt: 87ms | tok/sec: 11,786 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00114 (2.6%) | loss: 5.687459 | lrm: 0.26 | dt: 99ms | tok/sec: 10,344 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00115 (2.6%) | loss: 5.663902 | lrm: 0.26 | dt: 101ms | tok/sec: 10,149 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00116 (2.7%) | loss: 5.641820 | lrm: 0.27 | dt: 95ms | tok/sec: 10,745 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00117 (2.7%) | loss: 5.626754 | lrm: 0.27 | dt: 95ms | tok/sec: 10,797 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00118 (2.7%) | loss: 5.622392 | lrm: 0.27 | dt: 95ms | tok/sec: 10,776 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00119 (2.8%) | loss: 5.598601 | lrm: 0.28 | dt: 98ms | tok/sec: 10,497 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00120 (2.8%) | loss: 5.564337 | lrm: 0.28 | dt: 94ms | tok/sec: 10,909 | mfu: 0.0% | epoch: 1 | remaining: 292s    
step 00121 (2.8%) | loss: 5.543918 | lrm: 0.28 | dt: 80ms | tok/sec: 12,816 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00122 (2.9%) | loss: 5.503238 | lrm: 0.29 | dt: 95ms | tok/sec: 10,802 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00123 (2.9%) | loss: 5.462329 | lrm: 0.29 | dt: 94ms | tok/sec: 10,837 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00124 (2.9%) | loss: 5.452923 | lrm: 0.29 | dt: 96ms | tok/sec: 10,712 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00125 (3.0%) | loss: 5.435839 | lrm: 0.30 | dt: 104ms | tok/sec: 9,875 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00126 (3.0%) | loss: 5.427181 | lrm: 0.30 | dt: 89ms | tok/sec: 11,541 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00127 (3.0%) | loss: 5.433457 | lrm: 0.30 | dt: 96ms | tok/sec: 10,720 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00128 (3.0%) | loss: 5.424414 | lrm: 0.30 | dt: 95ms | tok/sec: 10,741 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00129 (3.1%) | loss: 5.497897 | lrm: 0.31 | dt: 94ms | tok/sec: 10,877 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00130 (3.1%) | loss: 5.544021 | lrm: 0.31 | dt: 98ms | tok/sec: 10,420 | mfu: 0.0% | epoch: 1 | remaining: 291s    
step 00131 (3.1%) | loss: 5.580905 | lrm: 0.31 | dt: 102ms | tok/sec: 10,038 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00132 (3.2%) | loss: 5.632116 | lrm: 0.32 | dt: 87ms | tok/sec: 11,741 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00133 (3.2%) | loss: 5.651202 | lrm: 0.32 | dt: 95ms | tok/sec: 10,779 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00134 (3.2%) | loss: 5.682317 | lrm: 0.32 | dt: 95ms | tok/sec: 10,726 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00135 (3.3%) | loss: 5.711826 | lrm: 0.33 | dt: 107ms | tok/sec: 9,587 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00136 (3.3%) | loss: 5.703582 | lrm: 0.33 | dt: 88ms | tok/sec: 11,665 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00137 (3.3%) | loss: 5.703919 | lrm: 0.33 | dt: 104ms | tok/sec: 9,817 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00138 (3.4%) | loss: 5.699153 | lrm: 0.34 | dt: 99ms | tok/sec: 10,321 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00139 (3.4%) | loss: 5.701022 | lrm: 0.34 | dt: 94ms | tok/sec: 10,874 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00140 (3.4%) | loss: 5.676863 | lrm: 0.34 | dt: 95ms | tok/sec: 10,809 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00141 (3.5%) | loss: 5.717713 | lrm: 0.35 | dt: 93ms | tok/sec: 11,052 | mfu: 0.0% | epoch: 1 | remaining: 290s    
step 00142 (3.5%) | loss: 5.698798 | lrm: 0.35 | dt: 94ms | tok/sec: 10,920 | mfu: 0.0% | epoch: 1 | remaining: 289s    
step 00143 (3.5%) | loss: 5.666405 | lrm: 0.35 | dt: 97ms | tok/sec: 10,510 | mfu: 0.0% | epoch: 1 | remaining: 289s    
step 00144 (3.6%) | loss: 5.623762 | lrm: 0.36 | dt: 98ms | tok/sec: 10,444 | mfu: 0.0% | epoch: 1 | remaining: 289s    
step 00145 (3.6%) | loss: 5.568135 | lrm: 0.36 | dt: 109ms | tok/sec: 9,374 | mfu: 0.0% | epoch: 1 | remaining: 289s    
step 00146 (3.6%) | loss: 5.506906 | lrm: 0.36 | dt: 102ms | tok/sec: 10,007 | mfu: 0.0% | epoch: 1 | remaining: 289s    
step 00147 (3.7%) | loss: 5.494455 | lrm: 0.37 | dt: 97ms | tok/sec: 10,578 | mfu: 0.0% | epoch: 1 | remaining: 289s    
step 00148 (3.7%) | loss: 5.446868 | lrm: 0.37 | dt: 111ms | tok/sec: 9,197 | mfu: 0.0% | epoch: 1 | remaining: 289s    
step 00149 (3.7%) | loss: 5.403199 | lrm: 0.37 | dt: 102ms | tok/sec: 10,002 | mfu: 0.0% | epoch: 1 | remaining: 289s    
step 00150 (3.8%) | loss: 5.335444 | lrm: 0.38 | dt: 101ms | tok/sec: 10,143 | mfu: 0.0% | epoch: 1 | remaining: 289s    
step 00151 (3.8%) | loss: 5.293666 | lrm: 0.38 | dt: 102ms | tok/sec: 10,012 | mfu: 0.0% | epoch: 1 | remaining: 288s    
step 00152 (3.8%) | loss: 5.298592 | lrm: 0.38 | dt: 104ms | tok/sec: 9,867 | mfu: 0.0% | epoch: 1 | remaining: 288s    
step 00153 (3.9%) | loss: 5.279917 | lrm: 0.39 | dt: 96ms | tok/sec: 10,686 | mfu: 0.0% | epoch: 1 | remaining: 288s    
step 00154 (3.9%) | loss: 5.256216 | lrm: 0.39 | dt: 97ms | tok/sec: 10,609 | mfu: 0.0% | epoch: 1 | remaining: 288s    
step 00155 (3.9%) | loss: 5.234148 | lrm: 0.39 | dt: 109ms | tok/sec: 9,428 | mfu: 0.0% | epoch: 1 | remaining: 288s    
step 00156 (4.0%) | loss: 5.229579 | lrm: 0.40 | dt: 90ms | tok/sec: 11,338 | mfu: 0.0% | epoch: 1 | remaining: 288s    
step 00157 (4.0%) | loss: 5.217179 | lrm: 0.40 | dt: 109ms | tok/sec: 9,381 | mfu: 0.0% | epoch: 1 | remaining: 288s    
step 00158 (4.0%) | loss: 5.209674 | lrm: 0.40 | dt: 108ms | tok/sec: 9,456 | mfu: 0.0% | epoch: 1 | remaining: 288s    
step 00159 (4.1%) | loss: 5.170648 | lrm: 0.41 | dt: 99ms | tok/sec: 10,365 | mfu: 0.0% | epoch: 1 | remaining: 288s    
step 00160 (4.1%) | loss: 5.172517 | lrm: 0.41 | dt: 103ms | tok/sec: 9,962 | mfu: 0.0% | epoch: 1 | remaining: 288s    
step 00161 (4.1%) | loss: 5.129315 | lrm: 0.41 | dt: 102ms | tok/sec: 10,082 | mfu: 0.0% | epoch: 1 | remaining: 287s    
step 00162 (4.2%) | loss: 5.132786 | lrm: 0.42 | dt: 103ms | tok/sec: 9,935 | mfu: 0.0% | epoch: 1 | remaining: 287s    
step 00163 (4.2%) | loss: 5.090724 | lrm: 0.42 | dt: 115ms | tok/sec: 8,871 | mfu: 0.0% | epoch: 1 | remaining: 287s    
